Problem,Contradictory Parameters
"High-Speed Data Transfer: A tech company needs to transfer large amounts of data between servers located in different parts of the world. The current technology uses copper cables, which can generate heat due to resistance, potentially damaging the servers and causing data loss. An engineering solution might be to use fiber optic cables, which can transfer data at higher speeds without generating heat. However, this solution would require a significant investment in new infrastructure and training for staff.",Weight of moving object vs. Speed
"Chemical Storage: A chemical manufacturing company needs to store a highly reactive and hazardous chemical used in its production process. The current storage method is in large tanks, but this poses a risk of a catastrophic reaction if the chemical accidentally comes into contact with another substance. An engineering solution might be to store the chemical in smaller, isolated containers to minimize the risk. However, this solution could reduce storage efficiency and increase the complexity of the production process.",Volume of stationary object vs. Stability of the object’s composition
"Aircraft Noise Reduction: An airline is facing complaints from communities near airports about the noise produced by its aircraft during takeoff and landing. The current technology uses jet engines, which are noisy due to the high-speed exhaust gases they produce. An engineering solution might be to use quieter turbofan engines. However, this could reduce the performance of the aircraft, affecting its fuel efficiency and range.",Speed vs. Noise level
"Battery Life: A smartphone manufacturer wants to increase the battery life of its devices to meet consumer demand. The current technology uses lithium-ion batteries, which can degrade over time and pose a fire risk if they overheat. An engineering solution might be to use solid-state batteries, which have a longer lifespan and are safer. However, this solution could increase the weight and cost of the devices, making them less attractive to consumers.",Energy spent by moving object (battery) vs. Durability of moving object
"Food Preservation: A food processing company wants to extend the shelf life of its products without using artificial preservatives, which some consumers avoid due to health concerns. The current preservation method uses these preservatives, which are effective but controversial. An engineering solution might be to use natural preservatives or advanced packaging techniques. However, these solutions could alter the taste of the products or increase their cost.",Convenience of use vs. Natural preservation effectiveness
"Water Purification: A city's water treatment facility wants to improve the quality of its drinking water without using chlorine, which can produce harmful byproducts. The current purification method uses chlorine, which is effective but has health risks. An engineering solution might be to use UV light or reverse osmosis. However, these solutions could significantly increase the facility's energy consumption and operational costs.",Energy spent by stationary object (water treatment facility) vs. Water quality improvement
"Solar Power: A power company wants to generate electricity using solar energy in a region with limited sunlight. The current technology uses silicon-based solar panels, which are inefficient under these conditions. An engineering solution might be to use thin-film solar cells or concentrated solar power systems. However, these solutions could increase the initial investment cost and reduce the lifespan of the system.",Energy spent by stationary object (solar power system) vs. Initial investment cost
"Waste Management: A city wants to reduce the amount of waste sent to landfills to meet environmental targets. The current waste management method involves collecting and transporting waste to a landfill, which is simple but environmentally unfriendly. An engineering solution might be to implement a comprehensive recycling and composting program. However, this solution would require significant public participation and could increase the city's waste management costs.",Amount of Substance (waste) vs. Environmental impact
"Automotive Safety: A car manufacturer wants to improve the safety of its vehicles without significantly increasing their cost. The current safety technology uses airbags, which can cause injuries in certain situations. An engineering solution might be to use advanced driver-assistance systems (ADAS), which can prevent accidents. However, this solution could increase the cost of the vehicles, making them less affordable for some consumers.",Reliability vs. Cost
"Internet Security: An internet service provider wants to protect its users from cyber threats without slowing down their internet speeds. The current security method uses firewalls, which are effective but can slow down internet speeds. An engineering solution might be to use a more advanced encryption method or a network security protocol like Secure Sockets Layer (SSL). However, this solution could require users to have more powerful hardware and could increase the complexity of the network.",Convenience of use vs. Security
"High-Speed Rail: A railway company wants to increase the speed of its trains to reduce travel time. The current technology uses steel wheels on steel rails, which can cause excessive wear and noise at high speeds. An engineering solution might be to use magnetic levitation, but this could significantly increase the cost and complexity of the railway system.",Speed vs. Cost
"Drug Delivery: A pharmaceutical company wants to improve the delivery of a drug to a specific part of the body. The current method uses systemic administration, which can cause side effects in other parts of the body. An engineering solution might be to use targeted drug delivery systems, but this could increase the cost and complexity of the treatment.",Accuracy of measurement vs. Cost
"Energy Efficiency: A manufacturer wants to improve the energy efficiency of its appliances to meet environmental regulations. The current technology uses traditional electric motors, which can waste energy as heat. An engineering solution might be to use high-efficiency motors, but this could increase the cost and size of the appliances.",Power vs. Appliance size
